,Name,IATA,Latitude,Longitude
0,Goroka Airport,GKA,-6.0816898345900015,145.391998291
1,Madang Airport,MAG,-5.20707988739,145.789001465
2,Mount Hagen Kagamuga Airport,HGU,-5.826789855957031,144.29600524902344
3,Nadzab Airport,LAE,-6.569803,146.725977
4,Port Moresby Jacksons International Airport,POM,-9.443380355834961,147.22000122070312
5,Wewak International Airport,WWK,-3.5838301181800003,143.66900634799998
6,Narsarsuaq Airport,UAK,61.1604995728,-45.4259986877
7,Godthaab / Nuuk Airport,GOH,64.19090271,-51.678100585900005
8,Kangerlussuaq Airport,SFJ,67.0122218992,-50.7116031647
9,Thule Air Base,THU,76.5311965942,-68.70320129390001
10,Akureyri Airport,AEY,65.66000366210939,-18.07270050048828
11,Egilsstaðir Airport,EGS,65.28330230712889,-14.401399612426758
12,Hornafjörður Airport,HFN,64.295601,-15.2272
13,Húsavík Airport,HZK,65.952301,-17.426001
14,Ísafjörður Airport,IFJ,66.05809783935547,-23.13529968261719
15,Keflavik International Airport,KEF,63.985000610352,-22.605600357055998
16,Patreksfjörður Airport,PFJ,65.555801,-23.965
17,Reykjavik Airport,RKV,64.1299972534,-21.9405994415
18,Siglufjörður Airport,SIJ,66.133301,-18.9167
19,Vestmannaeyjar Airport,VEY,63.42430114746094,-20.27890014648437
20,Sault Ste Marie Airport,YAM,46.48500061035156,-84.5093994140625
21,Winnipeg / St. Andrews Airport,\N,50.0564002991,-97.0325012207
22,Halifax / CFB Shearwater Heliport,\N,44.639702,-63.499401
23,St. Anthony Airport,YAY,51.391899108900006,-56.083099365200006
24,Tofino / Long Beach Airport,YAZ,49.079833,-125.77558300000001
25,Kugaaruk Airport,YBB,68.534401,-89.808098
26,Baie Comeau Airport,YBC,49.13249969482422,-68.20439910888672
27,CFB Bagotville,YBG,48.33060073852539,-70.99639892578125
28,Baker Lake Airport,YBK,64.29889678960001,-96.077796936
29,Campbell River Airport,YBL,49.95080184936523,-125.27100372314452
30,Brandon Municipal Airport,YBR,49.91,-99.951897
31,Cambridge Bay Airport,YCB,69.1081008911,-105.13800048799999
